id	text
31568	Bro is a bitch, fucking cunt https://t.co/dQ8JagmNCZ
30734	I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is such a cunt & a fake as wife
31227	@charliekirk11 @asia742 364 down only about 12,499,636 more to go!#BuildThatWall
31224	>Harasses women and calls them bitch and crabby  >They block him  >Plays the victim https://t.co/gmraGDtcQm
31139	Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯
34076	@ABCPolitics A illegal aliens showing exactly what they were coming to this country for in the first place. #sendthemback!!!!!
32479	Bitch....how the fuck. Siri you a dumb ass hoe https://t.co/nldwbLrK10
32985	#FactCheck true #TuesdayThoughts #WalkAwayFromDemocrats #WakeUpAmerica #VoteDemsOut #RedWaveRising2018 #BuildTheWall #StopTheInvasion #ProtectOurChildren #NoAmnesty #EndSanctuaryCities #NoDACA #EndChainMigration #FixTheLaws #EndVisaLottery #Congress
30284	@GMA @TVMarci His own fault #SENDTHEMBACK
30072	@christianllamar @LindseyGrahamSC stop w 'we have to worry about the children' No we do not-many R >20yrs old Go home and make your country better or enter ours legally #NoDACA we can't afford them
34098	@FoxNews @BarackObama Like he ever kept out any threats. He's lying as usual. #BuildThatWall
33818	Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights
34138	He is a snake ass bitch. He is a fugly slut who shouldn't be trusted and I'm patiently waiting for him to be 18 cuz… https://t.co/NbezBfDPQ4
34165	You seem like a hoe    Ok bitch? Did I ever deny that?   Nope, Next.
30974	@FoxNews @GOPLeader @MariaBartiromo This is a pretty sight #BuildThatWall
33150	happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hoe we'll party… https://t.co/MxNNWmSnZB
30574	You A Side Bitch You A Substitute 👩‍🏫 You Wifing Hoes 🤔 That's What Suckas Do 🍭
32162	Argentina imported tons of Mestizos and they went from a first world country to another third world Latin American shithole. This is what's in store for America if we #AbolishICE. #BuildTheDamnWall #DeportThemAll #SupportICE #KAG
32904	@BlackBreedMe You nasty little slutty whore your Pussy belong to me
31484	Open your mouth & take the meat like a hoe you bitch ass
31961	& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮
31616	bitch whole pussy out wit some pro-keds on.
31027	Border Patrol Agents Arrest Group of 163 Migrants in Arizona Desert via @BreitbartNews #StopTheInvasion #BuildThatWall
31231	@AnnCoulter Here is an encouraging word: I heard it suggested recently - maybe by or on @LouDobbs TV Show - or maybe by Ann herself - that somebody should tell our US President @POTUS & @VP we do not need to go to US Congress for funds to #BuildThatWall #BuildTheWall #BuildTheDamnWallNOW
33327	@mozartfx @vargas0516 @Bugl3t @JamesLeonardArt @ShannonSL_ @brownsugar7878 @brianklaas You literally put #BuildThatWall. But youre calling somebody racist. K.
31276	Conservative Trump Patriots, it might be the weekend but stay up to date. The corrupt Deep State never sleeps. Stay strong for our #Potus45 and for fellow Patriot Conservatives! #NoDaca #Potus45 #MAGA #KAG2020 #VoteRedNovember2018 #StandWithPresidentTump #IfollowAllPatriots
33238	is PROOF that theyre more privleged. also my bitch mother wont bring my pizza rolls up here like the lazy cunt she is so brb.
31004	Tell that bitch to pay me if she EVER tryna rape me
34187	I am a broke bitch that wants the bts puma shoes and I cannot pay in love
34421	the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO.
34441	@liamwilson1997 little bitch ha wait till i get my hands on u cunt fuck
33715	@Cory2etoiles StopImmigration
31820	I get so excited when I make a hair appt bc I know I'm about to be a WHOLE new bitch 😂👱‍♀️💇😛❗️
32578	No private comms #NoSanctuaryCities #BuildTheWall #NoDACA #Qanon #MAGA #PatriotsDay #WeWillNotForget @realDonaldTrump
32716	New Olympic sport ! Illegal migrant stowaways jump lorry.#IllegalImmigration #BorisJohnson
33494	Of course life is a bitch. If it was a slut it would be easy
32949	IM GONNA BUY BTS X PUMA SHOES THE FIRST TWEET I SAID BYE BITCH IM'
33195	Women empowering other women - That shit is lit. Like yasss bitch, you are amazing, go you. We can all shine TOGETHER ❤️
33561	Karma is a bitch baby, oh you wasn't trying to chill hoes, remember that, one day karma kicks you in the ass and I hope she wear steel toes
30424	@peterframpton @ABC @RoArquette #idiot do you want to open your home to a murderer? #MAGA #noasylum #buildthewall #sendthemback
31576	Not if Trump is busted first.  Know this: Pence knew the whole time-he's Manafort's bitch. https://t.co/ucsqr4ILom
30576	This is way scary, someone stop this evil person @potus @realDonaldTrump #BuildTheWall #EndDACA #BoycottNFL #BoycottNike #LockThemAllUp
33935	Italy Blocks New NGO Migrant Ship After Malta, Spain Refuse To Take #Italy #NGO #Malta #Spain #Rapefugees
32669	uGh n e ways my irl always pushing me to buy svt hi touch ticket and the puma shoes uH BITCH i would've bought them if i have money annoYing
34116	@POTUS @realDonaldTrump we have to get the folks to sign the petition.they want the wall,but only 1 sig so far.thought this would be overwhelmed by now! #BuildThatWall #MAGA2018 #KAG2020
32847	@tawt_ @chhhou FUCK U TOO BITCH CUNT
32871	You the whore; slinging your dick back and forth through every bitch https://t.co/oEOf6brqQj
31278	@realDonaldTrump You are confused which Obama, Soros, the MSM want. It is the aforementioned NWO elites that are conning you. Do your research and learn the truth. Thank God Trump won!!!#MAGA #AMERICAFIRST #BuildTheWall #NoDACA #NoChainImmigration #NoAnchorBabies #NoSanctuaryCities
30145	@realDonaldTrump Obama can't get off the couch without Valerie Jarrett giving him a shot of estrogen in his ass and then scripting his day. @BarackObama #BuildThatWall
33504	When your friend still tries to convince you to apply for UST 😂🙈 Cutiee though but you still a hoe bitch @Moi_Koi https://t.co/CM2mqXNSV2
32754	"#Navy rescued #Manchester bomber Salman Abedi from war-torn #Libya three years before deadly terror attack via @telegraphnewsthe #WEST is ""rescuing"" people that will #kill them.#SendThemHome #bombing #attack Have some dignity and throw them out"
34570	@FoxNews @LindseyGrahamSC Kick Turkey out of @NATO Kick the @UN out of the United States now #BuildTheWall #SendThemBack #DrainTheSwamp #Trump2020 #MAGA #AmericaFirst #TermLimits
30137	@realDonaldTrump You keep waving that magic wand sir!!! Ill NEVER get tired of all this #WINNING! #MAGA #BuildthatWall #HillaryforPrison
32921	I can be a bitch and an asshole but I will love you and care about you more than any other person you have met.
33417	@OnlineMagazin She is friend with an African? I bet she was and is still pro-rapefugee. Otherwise you aren't standing there with an African beside you. Sorry, but you wanted this. You are now afraid. I don't care for traitors like you, who did nothing when things could have changed. Bye bye.
30646	This white lady just told me I was "too young" and "a baby" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 lee me alone hoe
31107	Thank you @WHDLASD for doing nothing while a homeless man called me bitch and a hoe 3in. from my face while your patrol car was at the light
33964	i would beat the fuck outta yo strong back ass bitch! fuck you hoe. @IAMQUEENLATIFAH.
33025	if tha shoe fits.. put dat bitch on nd do sumn bout it if u dont like it
32653	@RealJamesWoods How does using #IllegalAliens change the fact that #IllegalAliens are #IllegalAliens?
32084	#WhenIWentToTheMallI called @ICEgov to report every #IllegalAlien I saw and forwarded their photos and vehicle license plate information for arrest and deportation!#MakeAmericaSafeAgain#MAGA #WalkAway #WompWomp #BuildTheWall #DeportThemAll #DefundSanctuaryCities #EndDACA
31833	Bitch how is you gonna claim to be a "real" nigga, yet still on that hoe shit? I'm not understanding the math, i'm ????
30088	@V_actually @Eddie_and_Patti Absolutely! No DACA, No Amnesty, No Sanctury Cities, Deport All Illegal Aliens, Build The Wall! #MAGA #2A #NoDACA #DeportThemAll #BuildTheWall #OBAMAgate #StandWithICE #PEDOgate #LockThemAllUp #BanIslam #TRUMP2020 @POTUS @realDonaldTrump
32698	@RealJamesWoods Censorship is wrong #IllegalAliens
33231	@RealJamesWoods I can't get enough photos of the IMPERIOUS Obama.Thanks for that. #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter #LiberalismIsAMentalDisorder #LiberalLogic #LockThemUp #LockHerUp #HillaryForPrison
